seloger_quartier,code_postal,Nombre de pièces,Époque de construction,LNM - Loyer de référence,LNM - Loyer de référence majoré,LNM - Loyer de référence minoré,LM - Majoration unitaire du loyer de référence,LM - Loyer de référence,LM - Loyer de référence majoré,LM - Loyer de référence minoré
Antiquaire - Notre Dame ,38000,1,avant 1946,16.695835864600042,19.99500303752005,11.697085105220028,1.1995835864600042,17.895419451060043,21.494378417210058,12.496876898450031
Berriat-Ampere,38000,1,avant 1946,14.74889766269517,17.658677195234205,10.334210300195785,1.0049078299603513,15.753805492655522,18.866038940174732,11.03666421517596
Centre-ville - Victor Hugo,38000,1,avant 1946,16.65646451472522,19.94775741767026,11.669525160307652,1.1956464514725218,17.85211096619774,21.441227094879043,12.467348386043913
Championnet-Caserne de Bonne,38000,1,avant 1946,16.680090920330922,19.976109104397104,11.686063644231645,1.1980090920330921,17.878100012364012,21.473122742446744,12.48506819024819
Hoche,38000,1,avant 1946,14.725032402283823,17.63003888274059,10.317522681598678,1.0025032402283824,15.727535642512207,18.833793743083163,11.018774301712869
Ile Verte,38000,1,avant 1946,16.653424209713254,19.944109051655904,11.666805558126445,1.195933809644159,17.84935801935741,21.438009766122143,12.464772462948524
Mutualité,38000,1,avant 1946,16.672099667093967,19.96651960051277,11.680365609764072,1.1973141239111043,17.869413791005076,21.46249078637942,12.479022671719626
Préfecture,38000,1,avant 1946,16.680524007953093,19.976628809543712,11.686366805567165,1.1980524007953093,17.8785764087484,21.473707410736676,12.48539300596482
Saint Laurent,38000,1,avant 1946,14.699604268912159,17.599525122694594,10.298472466660126,1.0012109484696037,15.700815217381763,18.801341545398998,10.999077940894926
Abbaye,38100,1,avant 1946,14.692695592048892,17.59123471045867,10.293506894082899,1.000649579556216,15.693345171605108,18.792209079792997,10.993831683861005
Abry,38100,1,avant 1946,14.691606234726132,17.58992748167136,10.293284987780906,1.0,15.691606234726132,18.78992748167136,10.993284987780905
Allies-Clos d'Or,38100,1,avant 1946,14.705797501388764,17.60695700166652,10.304058250972137,1.0005797501388765,15.706377251527641,18.80782662687483,11.004348126041574
Arlequin,38100,1,avant 1946,14.341989704753537,17.170387645704245,10.01359176380283,1.0,15.341989704753537,18.370387645704245,10.71359176380283
Antiquaire - Notre Dame ,38000,1,1946-1970,16.096876898450034,19.296252278140038,11.297709725530025,1.0997917932300023,17.19666869168003,20.59604407137004,11.997709725530024
Berriat-Ampere,38000,1,1946-1970,14.636772597320967,17.544134342261493,10.226993064781931,1.0024539149801757,15.639226512301143,18.74658825724167,10.926993064781932
Centre-ville - Victor Hugo,38000,1,1946-1970,16.067348386043914,19.260818063252696,11.27605548309887,1.097823225736261,17.16517161178017,20.558641288988955,11.97605548309887
Championnet-Caserne de Bonne,38000,1,1946-1970,16.085068190248194,19.28208182829783,11.289050006182007,1.0990045460165463,17.18407273626474,20.581086374314378,11.989050006182007
Hoche,38000,1,1946-1970,14.618774301712868,17.52252916205544,10.213767821256102,1.0012516201141912,15.62002592182706,18.72378078216963,10.913767821256103
Ile Verte,38000,1,1946-1970,16.068320794985528,19.262221509451763,11.277635953042875,1.0979669048220795,17.166287699807604,20.560188414273846,11.977635953042876
Mutualité,38000,1,1946-1970,16.07964761492987,19.275618800796526,11.285227681511072,1.0986570619555522,17.178304676885418,20.57427586275208,11.985227681511073
Préfecture,38000,1,1946-1970,16.08539300596482,19.282471607157785,11.289288204374202,1.0990262003976548,17.184419206362474,20.58149780755544,11.989288204374201
Saint Laurent,38000,1,1946-1970,14.606581070365252,17.50839749306966,10.20666021658282,1.0006054742348018,15.607186544600054,18.70900296730446,10.906660216582821
Abbaye,38100,1,1946-1970,14.602111805968965,17.50308617530329,10.203572687559188,1.000324789778108,15.602436595747076,18.7034109650814,10.903572687559189
Abry,38100,1,1946-1970,14.598321246945225,17.498321246945228,10.2,1.0,15.598321246945227,18.698321246945227,10.9
Allies-Clos d'Or,38100,1,1946-1970,14.604348126041574,17.505217751249887,10.20318862576382,1.0002898750694382,15.604638001111011,18.705507626319324,10.903188625763821
Arlequin,38100,1,1946-1970,14.528397940950708,17.428397940950706,10.2,1.0,15.528397940950708,18.62839794095071,10.9
Antiquaire - Notre Dame ,38000,1,1971-1990,15.899375379690005,19.099167172920012,11.099583586460003,1.1,16.999375379690008,20.399167172920006,11.899583586460004
Berriat-Ampere,38000,1,1971-1990,15.607072725887175,18.709490513485683,10.904727193052006,1.0999638726183312,16.707036598505507,20.009454386104014,11.704691065670337
Centre-ville - Victor Hugo,38000,1,1971-1990,15.893469677208783,19.091292902945042,11.095646451472522,1.1,16.993469677208783,20.391292902945043,11.895646451472523
Championnet-Caserne de Bonne,38000,1,1971-1990,15.89701363804964,19.096018184066185,11.098009092033092,1.1,16.997013638049637,20.396018184066182,11.898009092033094
Hoche,38000,1,1971-1990,15.60375486034257,18.705006480456763,10.90250324022838,1.0999999999999999,16.70375486034257,20.005006480456764,11.70250324022838
Ile Verte,38000,1,1971-1990,15.884438495700902,19.081222623177315,11.090019922915824,1.0988172226543327,16.983255718355235,20.380039845831647,11.888837145570156
Mutualité,38000,1,1971-1990,15.894304670639343,19.09275341819148,11.096272551894033,1.0997916855965857,16.99409635623593,20.392545103788063,11.896064237490618
Préfecture,38000,1,1971-1990,15.897078601192964,19.09610480159062,11.098052400795309,1.1,16.997078601192964,20.396104801590617,11.89805240079531
Saint Laurent,38000,1,1971-1990,15.581808077450203,18.67991250852823,10.888705732685727,1.0974989568432247,16.679307034293426,19.977411465371453,11.686204689528953
Abbaye,38100,1,1971-1990,15.578894043713097,18.67645879278855,10.88684937604295,1.0972399592973465,16.67613400301044,19.973698752085898,11.684089335340294
Abry,38100,1,1971-1990,15.58656997556181,18.684891222507034,10.891606234726131,1.0983212469452261,16.684891222507034,19.983212469452262,11.689927481671356
Allies-Clos d'Or,38100,1,1971-1990,15.600869625208315,18.701159500277754,10.900579750138878,1.1,16.700869625208316,20.001159500277755,11.700579750138877
Arlequin,38100,1,1971-1990,15.027183527605661,18.05558146855637,10.541989704753538,1.0283979409507078,16.05558146855637,19.283979409507076,11.270387645704245
Antiquaire - Notre Dame ,38000,1,après 1990,16.000416413539995,19.200416413539994,11.200208206769997,1.1,17.100416413539996,20.500624620309992,12.000208206769997
Berriat-Ampere,38000,1,après 1990,16.19469476884129,19.394622514077952,11.297293193348143,1.1,17.294694768841293,20.79213247171611,12.097257065966472
Centre-ville - Victor Hugo,38000,1,après 1990,16.004353548527476,19.20435354852748,11.202176774263737,1.1,17.104353548527477,20.506530322791214,12.002176774263738
Championnet-Caserne de Bonne,38000,1,après 1990,16.00199090796691,19.20199090796691,11.200995453983454,1.1,17.10199090796691,20.502986361950363,12.000995453983455
Hoche,38000,1,après 1990,16.197496759771614,19.397496759771613,11.298748379885808,1.0999999999999999,17.297496759771615,20.796245139657422,12.098748379885807
Ile Verte,38000,1,après 1990,15.991055639553503,19.18869008486217,11.19375365375825,1.0999999999999999,17.091055639553506,20.489540402694423,11.992570876412586
Mutualité,38000,1,après 1990,16.00039441765134,19.19997778884451,11.199884737220547,1.1,17.100394417651337,20.50111241248554,11.999676422817133
Préfecture,38000,1,après 1990,16.00194759920469,19.20194759920469,11.200973799602345,1.1,17.101947599204692,20.502921398807036,12.000973799602345
Saint Laurent,38000,1,après 1990,16.171277576805867,19.366275490492317,11.281887223667772,1.1,17.271277576805872,20.763168973100743,12.079386180510996
Abbaye,38100,1,après 1990,16.168989972714595,19.363469891309286,11.280354925303318,1.1,17.268989972714596,20.760385060828526,12.077594884600664
Abry,38100,1,après 1990,16.181533716397485,19.37817621028794,11.288248728616585,1.1,17.281533716397487,20.776497457233166,12.08656997556181
Allies-Clos d'Or,38100,1,après 1990,16.199420249861124,19.399420249861123,11.299710124930563,1.1,17.299420249861125,20.799130374791687,12.099710124930562
Arlequin,38100,1,après 1990,15.412377350457785,18.4691732323592,10.798785586654954,1.1,16.512377350457783,19.79757117330991,11.527183527605661
Antiquaire - Notre Dame ,38000,2,avant 1946,12.79812613907002,15.397709725530024,8.998542552610015,0.8997917932300021,13.69791793230002,16.397501518760023,9.598542552610013
Berriat-Ampere,38000,2,avant 1946,11.922265871729927,14.327209829071947,8.317321914387906,0.8024900423618446,12.72475591409177,15.229735998815459,8.917321914387907
Centre-ville - Victor Hugo,38000,2,avant 1946,12.780409031626348,15.37605548309887,8.984762580153827,0.8978232257362608,13.678232257362607,16.37387870883513,9.584762580153827
Championnet-Caserne de Bonne,38000,2,avant 1946,12.791040914148917,15.389050006182009,8.993031822115823,0.8990045460165461,13.690045460165459,16.388054552198554,9.593031822115822
Hoche,38000,2,avant 1946,11.911264581027721,14.313767821256103,8.30876134079934,0.8012516201141913,12.712516201141911,15.215019441370293,8.90876134079934
Ile Verte,38000,2,avant 1946,12.787616030127053,15.384732617116878,8.990499443137226,0.8991496821677466,13.686765712294797,16.385065076630287,9.590499443137226
Mutualité,38000,2,avant 1946,12.788955129617042,15.38647756793156,8.991432691302522,0.8988653763589666,13.687820505976006,16.38555125869394,9.591432691302524
Préfecture,38000,2,avant 1946,12.791235803578893,15.389288204374202,8.993183402783583,0.8990262003976547,13.690262003976546,16.388314404771855,9.593183402783582
Saint Laurent,38000,2,avant 1946,11.917954483897093,14.321666475523472,8.314242492270715,0.8031065173915771,12.72106100128867,15.227274036071824,8.914242492270715
Abbaye,38100,2,avant 1946,11.91672331151624,14.32013293177511,8.31331369125737,0.8030848304807616,12.719808141997001,15.225977802958523,8.913313691257372
Abry,38100,2,avant 1946,11.908393765273871,14.310072518328646,8.306715012219097,0.801678753054774,12.710072518328644,15.213430024438193,8.906715012219097
Allies-Clos d'Or,38100,2,avant 1946,11.902608875624944,14.303188625763822,8.302029125486069,0.8002898750694383,12.702898750694382,15.203478500833258,8.902029125486068
Arlequin,38100,2,avant 1946,12.258010295246462,14.729612354295755,8.586408236197169,0.8716020590492923,13.129612354295753,15.77281647239434,9.18640823619717
Antiquaire - Notre Dame ,38000,2,1946-1970,12.49895896615001,14.998750759380012,8.79916717292001,0.8997917932300021,13.398750759380011,16.098542552610017,9.39916717292001
Berriat-Ampere,38000,2,1946-1970,12.012414084427554,14.414904126789398,8.40992404206571,0.8024900423618446,12.814904126789399,15.417394169151244,9.00992404206571
Centre-ville - Victor Hugo,38000,2,1946-1970,12.489116128681305,14.986939354417563,8.791292902945044,0.8978232257362608,13.386939354417565,16.084762580153825,9.391292902945043
Championnet-Caserne de Bonne,38000,2,1946-1970,12.49502273008273,14.994027276099278,8.796018184066186,0.8990045460165461,13.394027276099278,16.093031822115826,9.396018184066184
Hoche,38000,2,1946-1970,12.006258100570955,14.407509720685146,8.405006480456764,0.8012516201141913,12.807509720685147,15.408761340799337,9.005006480456764
Ile Verte,38000,2,1946-1970,12.494565633493067,14.993715315660813,8.79541595132532,0.8991496821677466,13.393715315660812,16.09286499782856,9.39541595132532
Mutualité,38000,2,1946-1970,12.49411856739142,14.992983943750383,8.795253191032453,0.8988653763589666,13.392983943750385,16.09184932010935,9.395253191032452
Préfecture,38000,2,1946-1970,12.495131001988273,14.994157202385928,8.79610480159062,0.8990262003976547,13.394157202385928,16.093183402783584,9.396104801590619
Saint Laurent,38000,2,1946-1970,12.01303154380111,14.416138061192688,8.409925026409534,0.8031065173915771,12.816138061192689,15.419244578584266,9.009925026409533
Abbaye,38100,2,1946-1970,12.012664111701154,14.415748942181915,8.409579281220392,0.8030848304807616,12.815748942181918,15.418833772662678,9.009579281220393
Abry,38100,2,1946-1970,12.006715012219098,14.408393765273871,8.405036259164323,0.801678753054774,12.808393765273872,15.410072518328645,9.005036259164322
Allies-Clos d'Or,38100,2,1946-1970,12.00144937534719,14.40173925041663,8.401159500277753,0.8002898750694383,12.801739250416631,15.402029125486068,9.001159500277753
Arlequin,38100,2,1946-1970,12.28640823619717,14.758010295246462,8.614806177147877,0.8716020590492923,13.158010295246463,15.829612354295755,9.214806177147878
Antiquaire - Notre Dame ,38000,2,1971-1990,13.298334345840017,15.997917932300021,9.29895896615001,0.9,14.198334345840015,16.99812613907002,9.898958966150012
Berriat-Ampere,38000,2,1971-1990,12.519631319841405,15.024539149801756,8.81226957490088,0.9,13.419631319841406,16.122085234821583,9.412269574900877
Centre-ville - Victor Hugo,38000,2,1971-1990,13.282585805890088,15.978232257362608,9.289116128681306,0.8999999999999999,14.182585805890087,16.980409031626348,9.889116128681305
Championnet-Caserne de Bonne,38000,2,1971-1990,13.292036368132369,15.990045460165462,9.295022730082731,0.9,14.192036368132369,16.991040914148915,9.895022730082731
Hoche,38000,2,1971-1990,12.510012960913528,15.012516201141912,8.806258100570956,0.8999999999999999,13.410012960913528,16.111264581027722,9.406258100570955
Ile Verte,38000,2,1971-1990,13.283735238576638,15.979669048220796,9.289834524110397,0.9,14.183735238576634,16.981702143398717,9.8898345241104
Mutualité,38000,2,1971-1990,13.289256495644418,15.986570619555522,9.293285309777762,0.9,14.189256495644416,16.98791355759997,9.893285309777761
Préfecture,38000,2,1971-1990,13.292209603181238,15.990262003976547,9.295131001988274,0.9,14.192209603181237,16.991235803578892,9.895131001988274
Saint Laurent,38000,2,1971-1990,12.504843793878415,15.006054742348018,8.80302737117401,0.9,13.404843793878415,16.10544926811322,9.40302737117401
Abbaye,38100,2,1971-1990,12.502598318224864,15.00324789778108,8.80162394889054,0.9,13.402598318224864,16.102923108002972,9.40162394889054
Abry,38100,2,1971-1990,12.5,15.000000000000002,8.8,0.9,13.4,16.1,9.400000000000002
Allies-Clos d'Or,38100,2,1971-1990,12.502319000555506,15.002898750694383,8.801449375347191,0.9,13.402319000555506,16.102608875624945,9.401449375347191
Arlequin,38100,2,1971-1990,12.5,15.0,8.8,0.9,13.4,16.1,9.4
Antiquaire - Notre Dame ,38000,2,après 1990,13.798334345840017,16.59791793230002,9.698750759380012,0.9997917932300021,14.798126139070018,17.797709725530023,10.398542552610015
Berriat-Ampere,38000,2,après 1990,13.019775829368081,15.6247197867101,9.114831872026059,0.9024539149801757,13.922229744348256,16.727173701690276,9.717285787006237
Centre-ville - Victor Hugo,38000,2,après 1990,13.782585805890086,16.578232257362608,9.686939354417564,0.9978232257362608,14.780409031626348,17.77605548309887,10.384762580153826
Championnet-Caserne de Bonne,38000,2,après 1990,13.79203636813237,16.590045460165463,9.694027276099277,0.9990045460165461,14.791040914148915,17.789050006182006,10.393031822115825
Hoche,38000,2,après 1990,13.010012960913528,15.612516201141911,9.107509720685146,0.9012516201141912,13.911264581027721,16.713767821256102,9.708761340799338
Ile Verte,38000,2,après 1990,13.788466347959305,16.585582934949134,9.691349760969478,0.9979669048220795,14.786433252781384,17.78354983977121,10.389316665791558
Mutualité,38000,2,après 1990,13.790089753258076,16.587612191572596,9.692567314943556,0.9986570619555521,14.788746815213628,17.786269253528147,10.391224376899109
Préfecture,38000,2,après 1990,13.792209603181238,16.590262003976548,9.694157202385927,0.9990262003976547,14.791235803578893,17.789288204374202,10.393183402783583
Saint Laurent,38000,2,après 1990,13.014847966505515,15.618559958131895,9.111135974879137,0.9006054742348018,13.915453440740318,16.719165432366694,9.711741449113939
